[ 2025-08-01 13:18:01,565 ] 20 root - INFO - Initiate the data ingestion
[ 2025-08-01 13:18:03,332 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-01 13:18:03,332 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-01 13:18:03,332 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-01 13:18:03,393 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-01 13:18:03,393 ] 22 root - INFO - Data Initiation Completed
[ 2025-08-01 13:18:03,464 ] 26 root - INFO - Initiate the data Validation
[ 2025-08-01 13:18:03,483 ] 32 root - INFO - Required number of columns:2
[ 2025-08-01 13:18:03,483 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-01 13:18:03,483 ] 32 root - INFO - Required number of columns:2
[ 2025-08-01 13:18:03,483 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-01 13:18:03,644 ] 28 root - INFO - data Validation Completed
[ 2025-08-01 13:18:03,644 ] 31 root - INFO - data Transformation started
[ 2025-08-01 13:18:03,644 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-01 13:18:03,644 ] 65 root - INFO - Starting data transformation
[ 2025-08-01 13:18:03,672 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-01 13:18:03,672 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-01 13:18:03,684 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-01 13:18:03,687 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-01 13:18:03,687 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-01 13:18:03,697 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-01 13:18:03,697 ] 35 root - INFO - data Transformation completed
[ 2025-08-01 13:18:03,697 ] 37 root - INFO - Model Training sstared
[ 2025-08-01 13:21:13,024 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-01 13:21:13,024 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-01 13:21:13,024 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-01 13:21:13,040 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-01 13:21:13,040 ] 151 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/08_01_2025_13_18_00/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9919126566922766, precision_score=0.9913113760355627, recall_score=0.9925146672061501), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9691230959242486, precision_score=0.968724279835391, recall_score=0.9695222405271828))
[ 2025-08-01 13:21:13,041 ] 42 root - INFO - Model Training artifact created
